Entry,Name,Name(TN),Disease,efficacy1,efficacy2,efficacy3,efficacy4,efficacy5,efficacy6,efficacy7,efficacy8
"D10177
","Trebananib (USAN)
Trebananib (genetical recombination) (JAN)
Tovasanib
  ","
","
",Antineoplastic,Angiogenesis inhibitor,Angiopoietin antagonist,,,,,
"D10178
","Trelagliptin (USAN)
  ","
","
",Antidiabetic,Dipeptidyl peptidase-4 (DPP-4) inhibitor,,,,,,
"D10179
","Trelagliptin succinate (JAN/USAN)
  ","Zafatek (TN)
  ","Type 2 diabetes mellitus [DS:H00409]
  ",Antidiabetic,Dipeptidyl peptidase-4 (DPP-4) inhibitor,,,,,,
"D10180
","Umeclidinium (USAN)
  ","
","
",Bronchodilator,Muscarinic acetylcholine receptor antagonist,,,,,,
"D10181
","Umeclidinium bromide (JAN/USAN)
  ","Incruse ellipta (TN)
  ","Chronic obstructive pulmonary disease [DS:H01714]
  ",Bronchodilator,Muscarinic acetylcholine receptor antagonist,,,,,,
"D10182
","Volasertib (USAN)
  ","
","
",Antineoplastic,Polo-like kinase inhibitor,,,,,,
"D10183
","Volasertib trihydrochloride (USAN)
Volasertib hydrochloride (JAN)
  ","
","
",Antineoplastic,Polo-like kinase inhibitor,,,,,,
"D10184
","Vortioxetine (USAN)
  ","Brintellix (TN)
  ","
",Antianxiety,Antidepressant,Serotonin receptor antagonist,,,,,
"D10185
","Vortioxetine hydrobromide (JAN/USAN)
  ","Brintellix (TN)
Trintellix (TN)
  ","Major depressive disorder [DS:H01646]
  ",Antidepressant,Antianxiety,Serotonin reuptake inhibitor,Serotonin receptor antagonist/agonist,,,,
"D10186
","Bitopertin (JAN/USAN)
Paliflutine
  ","
","
",Antipsychotic,Glycine transporter inhibitor,,,,,,
"D10187
","Pateclizumab (USAN)
  ","
","
",Immunosuppressant,Anti-lymphotoxin alpha antibody,,,,,,
"D10188
","Naldemedine (USAN/INN)
  ","
","
",Anti-emetic,Laxative,Opioid receptor antagonist,,,,,
"D10189
","Pictilisib (USAN)
Pictrelisib
  ","
","
",Antineoplastic,Phosphatidylinositol 3-kinase inhibitor,,,,,,
"D10190
","Tivozanib hydrochloride (USAN)
Tivozanib hydrochloride monohydrate
  ","Fotivda (TN)
  ","Renal cell carcinoma [DS:H00021]
  ",Antineoplastic,Angiogenesis inhibitor,Receptor tyrosine kinase inhibitor,,,,,
"D10191
","Safinamide mesylate (USAN)
Safinamide mesilate (JAN)
Safinamide methanesulfonate
  ","Xadago (TN)
Equfina (TN)
  ","Parkinson's disease [DS:H00057]
  ",Antiparkinsonian,Monoamine oxidase B (MAO-B) inhibitor,,,,,,
"D10192
","Recombinant adsorbed quadrivalent human papillomavirus virus-like particle vaccine (yeast origin)
  ","Gardasil (TN)
Silgard (TN)
  ","Cervical cancer [DS:H00030]
Vulvar cancer [DS:H00029]
Genital warts; Condyloma acuminata [DS:H01418]
Anal cancer [DS:H00044]
  ",Active immunization (papillomavirus),,,,,,,
"D10193
","Live attenuated human rota virus vaccine, oral
  ","Rotarix (TN)
  ","Prevention of rotavirus gastroenteritis [DS:H00975]
  ",Active immunization (rotavirus),,,,,,,
"D10194
","Remimazolam besylate (USAN)
Remimazolam besilate (JAN)
  ","Anerem (TN)
Byfavo (TN)
  ","
",Anesthetic (intravenous),Sedative,,,,,,
"D10195
","Luseogliflozin hydrate (JAN)
  ","Lusefi (TN)
  ","
",Antidiabetic,SGLT-2 inhibitor,,,,,,
"D10196
","Ipragliflozin (INN)
  ","
","
",Antidiabetic,SGLT-2 inhibitor,,,,,,
"D10197
","Profluthrin (JAN)
  ","
","
",Insecticide,,,,,,,
"D10198
","Calcipotriol hydrate (JAN)
Calcipotriol monohydrate
Calcipotriene hydrate
  ","Dovonex (TN)
  ","Plaque psoriasis [DS:H01656]
  ",Antipsoriatic,Vitamin D receptor agonist,,,,,,
"D10199
","Tapentadol hydrochloride (JAN)
  ","Nucynta (TN)
  ","Diabetic peripheral neuropathy (DPN) [DS:H01459]
  ",Analgesic,Opioid receptor agonist,Noradrenaline reuptake inhibitor,,,,,
"D10200
","Ipragliflozin L-proline (JAN)
  ","Suglat (TN)
  ","
",Antidiabetic,SGLT-2 inhibitor,,,,,,
"D10202
","Bafetinib (USAN)
  ","
","
",Antineoplastic,Tyrosine kinase inhibitor,,,,,,
"D10203
","Trabedersen (INN/BAN)
  ","
","
",Antineoplastic,Translation inhibitor,,,,,,
"D10204
","L-Arginine L-glutamate hydrate (JAN)
  ","
","
",Antihyperammonemic,,,,,,,
"D10205
","Sodium phenylacetate and sodium benzoate
  ","Ammonul (TN)
Ucephan (TN)
  ","Hyperammonemia [DS:H01398]
  ",Antihyperammonemic,,,,,,,
"D10206
","Olanzapine and fluoxetine hydrochloride
  ","Symbyax (TN)
  ","Bipolar disorder [DS:H01653]
Major depressive disorder [DS:H01646]
  ",Antidepressant,,,,,,,
"D10207
","Chlordiazepoxide and amitriptyline hydrochloride
  ","Chlordiazepoxide and amitriptyline hcl (TN)
  ","
",Antidepressant,,,,,,,
"D10208
","Dextromethorphan hydrobromide and quinidine sulfate
  ","Nuedexta (TN)
  ","
",,,,,,,,
"D10209
","Hydralazine hydrochloride and isosorbide dinitrate
  ","Bidil (TN)
  ","
",Vasodilator (peripheral),,,,,,,
"D10210
","Rifampin, isoniazid and pyrazinamide
  ","Rifater (TN)
  ","Pulmonary tuberculosis [DS:H00342]
  ",Antibacterial (tuberculostatic),,,,,,,
"D10211
","Rotavirus vaccine, live, oral, pentavalent
  ","Rotateq (TN)
  ","Prevention of rotavirus gastroenteritis [DS:H00975]
  ",Active immunization (rotavirus),,,,,,,
"D10212
","Recombinant adsorbed bivalent human papillomavirus-like particle vaccine (derived from Trichoplusia ni cells)
  ","Cervarix (TN)
  ","
",Active immunization (papillomavirus),,,,,,,
"D10213
","Pneumococcal polysaccharide conjugate vaccine (adsorbed)
  ","Prevenar (TN)
  ","
",Active immunization (pneumococcal),,,,,,,
"D10214
","Adsorbed diphtheria-purified pertussis-tetanus-inactivated polio combined vaccine
  ","Quattrovac (TN)
Tetrabik (TN)
  ","
",Active immunization,,,,,,,
"D10215
","Adsorbed influenza virus vaccine (H5N1)
  ","
","
",Active immunization (influenza virus),,,,,,,
"D10216
","Apaflurane (INN/BAN)
1,1,1,2,3,3,3-Heptafluoropropane
  ","
","
",Pharmaceutic aid (aerosol propellant),,,,,,,
"D10217
","Miripirium chloride (INN)
Quatresin
  ","
","
",Antiseptic,,,,,,,
"D10218
","Enzalutamide (JAN/USAN)
  ","Xtandi (TN)
  ","Prostate cancer, castration-resistant [DS:H00024]
  ",Antineoplastic,Androgen receptor antagonist,,,,,,
"D10219
","Abediterol (USAN/INN)
  ","
","
",Bronchodilator,beta2-Adrenergic receptor agonist,,,,,,
"D10220
","Abediterol napadisylate (USAN)
  ","
","
",Bronchodilator,beta2-Adrenergic receptor agonist,,,,,,
"D10221
","Enobosarm (USAN)
  ","
","
",Osteoporosis agent,Androgen receptor modulator,,,,,,
"D10222
","Gemcitabine elaidate (USAN/INN)
  ","
","
",Antineoplastic,Antimetabolite,,,,,,
"D10223
","Ibrutinib (JAN/USAN)
  ","Imbruvica (TN)
  ","Mantle cell lymphoma [DS:H01464]
Chronic lymphocytic leukemia [DS:H00005]
Chronic lymphocytic leukemia (chromosome 17p deletion) [DS:H00005]
Waldenström's macroglobulinemia [DS:H00011]
Chronic graft versus host disease [DS:H00084]
  ",Antineoplastic,Bruton's tyrosine kinase inhibitor,,,,,,
"D10224
","Golvatinib (USAN)
  ","
","
",Antineoplastic,Receptor tyrosine kinase inhibitor,,,,,,
"D10225
","Sacubitril (JAN/USAN/INN)
  ","
","
",Antihypertensive,Neprilysin inhibitor,,,,,,
"D10226
","Sacubitril valsartan sodium hydrate (JAN)
Sacubitril mixture with valsartan
  ","Entresto (TN)
  ","
",Antihypertensive,,,,,,,
"D10227
","Turoctocog alfa (INN)
Turoctocog alfa (genetical recombination) (JAN)
  ","Novoeight (TN)
  ","
",Bleeding suppressant,Replenisher (coagulation factor),,,,,,
"D10228
","Amifampridine (USAN/INN)
  ","Ruzurgi (TN)
  ","Lambert-Eaton myasthenic syndrome [DS:H01596]
  ",Autoimmune disease treatment,Potassium channel blocker,,,,,,
"D10229
","Masitinib (INN)
  ","
","
",Antineoplastic (veterinary),Receptor tyrosine kinase inhibitor,,,,,,
"D10230
","Quifenadine (INN)
  ","
","
",Antiallergic,,,,,,,
"D10231
","Flutemetamol F 18 (USAN)
  ","Vizamyl (TN)
  ","
",Diagnostic,,,,,,,
"D10232
","Cinnamon twig (Non-JPS)
Cinamomi ramulus
Cinnamon branch
Keishi
  ","
","
",Analgesic,Antibacterial,Antipyretic,Stomachic,,,,
"D10233
","Gentiana macrophylla root (Non-JPS)
Gentianae macrophyllae radix
Large gentian root
  ","
","
",,,,,,,,
"D10234
","Agarwood (Non-JPS)
Powdered agarwood (Non-JPS)
Aquilariae resinatum lignum
  ","
","
",,,,,,,,
"D10235
","Immature citrus unshiu peel (Non-JPS)
Citri unshiu pericarpium immaturus
Citrus immature fruit and fruit peel
  ","
","
",,,,,,,,
"D10236
","Melia fruit (Non-JPS)
Meliae fructus
  ","
","
",Analgesic,Intestinal regulator,,,,,,
"D10237
","Common rush (Non-JPS)
Junci herba
  ","
","
",,,,,,,,
"D10238
","Coix fruit with involucre (Non-JPS)
Coicis fructus cum involucris
Adlay
  ","
","
",,,,,,,,
"D10239
","Hop strobile (Non-JPS)
Luppuli strobilus
  ","
","
",,,,,,,,
"D10240
","Aralia root (Non-JPS)
Wakyoukatsu
Araliae cordatae radix
  ","
","
",Analgesic,,,,,,,
"D10241
","Boschniakia herb (Non-JPS)
Boschniakiae herba
  ","
","
",,,,,,,,
"D10242
","Lipegfilgrastim (USAN)
  ","Lonquex (TN)
  ","
",Antineutropenic,Hematopoietic stimulant,Granulocyte colony stimulating factor (G-CSF),,,,,
"D10243
","Irbesartan and amlodipine besilate (JP18)
  ","Aimix (TN)
  ","
",Antihypertensive,,,,,,,
"D10244
","Metformin hydrochloride and rosiglitazone maleate
  ","Avandamet (TN)
  ","Type 2 diabetes mellitus [DS:H00409]
  ",Antidiabetic,,,,,,,
"D10245
","Bismuth subcitrate, tetracycline and metronidazole
  ","Helidac (TN)
Pylera (TN)
  ","Helicobacter pylori infection [DS:H00320]
  ",Antibacterial,,,,,,,
"D10246
","Omeprazole, clarithromycin and amoxicillin
  ","Omeclamox-pak (TN)
  ","Helicobacter pylori infection [DS:H00320]
  ",Antibacterial,,,,,,,
"D10247
","Chlordiazepoxide hydrochloride and clidinium bromide
  ","Chlordiazepoxide hydrochloride and clidinium buromide (TN)
  ","Peptic ulcer [DS:H01634]
Irritable bowel syndrome [DS:H01615]
  ",Anti-ulcerative (adjunctive),,,,,,,
"D10248
","Docusate sodium and sennosides
  ","
","
",Laxative,Softener,,,,,,
"D10249
","Irbesartan and hydrochlorothiazide
  ","Avalide (TN)
Ifirmacombi (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10250
","Buprenorphine and naloxone
  ","Bunavail (TN)
Suboxone (TN)
  ","
",Narcotic antagonist,,,,,,,
"D10251
","Glimepiride and rosiglitazone maleate
  ","Avandaryl (TN)
  ","
",Antidiabetic,,,,,,,
"D10252
","Fexofenadine hydrochloride and pseudoephedrine hydrochloride
  ","Allegra-d (TN)
  ","Allergic rhinitis [DS:H01360]
  ",Antiallergic,,,,,,,
"D10253
","Alogliptin benzoate and metformin hydrochloride
  ","Kazano (TN)
Vipdomet (TN)
  ","Type 2 diabetes mellitus [DS:H00409]
  ",Antidiabetic,,,,,,,
"D10254
","Esflurbiprofen (JAN)
  ","
","
",Analgesic,Anti-inflammatory,COX inhibitor,,,,,
"D10255
","Anagrelide hydrochloride hydrate (JAN)
Anagrelide hydrochloride monohydrate
  ","Agrylin (TN)
  ","
",Thrombocythemia treatment,Platelet aggregation inhibitor,Phosphodiesterase inhibitor,,,,,
"D10256
","Albuterol sulfate and ipratropium bromide
  ","Combivent (TN)
  ","Chronic obstructive pulmonary disease [DS:H01714]
  ",Anti-inflammatory,Bronchodilator,,,,,,
"D10257
","Ezetimibe and simvastatin
  ","Vytorin (TN)
  ","Hyperlipidemia [DS:H01635]
Homozygous familial hypercholesterolemia [DS:H00155]
  ",Antihyperlipidemic,,,,,,,
"D10258
","Simvastatin and sitagliptin phosphate
  ","Juvisync (TN)
  ","
",Antidiabetic,,,,,,,
"D10259
","Famotidine, calcium carbonate and magnesium hydroxide
  ","Pepcid complete (TN)
  ","
",Antacid,,,,,,,
"D10260
","Glucarpidase (INN)
Glucarpidase (genetical recombination) (JAN)
  ","Voraxaze (TN)
Megludase (TN)
  ","
",Antidote (methotrexate concentrations),,,,,,,
"D10261
","Metformin hydrochloride and sitagliptin phosphate
  ","Janumet (TN)
  ","Type 2 diabetes mellitus [DS:H00409]
  ",Antidiabetic,,,,,,,
"D10262
","Saxagliptin hydrochloride
  ","Onglyza (TN)
  ","
",Antidiabetic,Dipeptidyl peptidase-4 (DPP-4) inhibitor,,,,,,
"D10263
","Metformin hydrochloride and saxagliptin hydrochloride
  ","Kombiglyze (TN)
  ","Type 2 diabetes mellitus [DS:H00409]
  ",Antidiabetic,,,,,,,
"D10264
","Linagliptin and metformin hydrochloride
  ","Jentaduet (TN)
  ","Type 2 diabetes mellitus [DS:H00409]
  ",Antidiabetic,,,,,,,
"D10265
","Glipizide and metformin hydrochloride
  ","Metaglip (TN)
  ","Type 2 diabetes mellitus [DS:H00409]
  ",Antidiabetic,,,,,,,
"D10266
","Glyburide and metformin hydrochloride
Glibenclamide and metformin hydrochloride
  ","Glucovance (TN)
  ","Type II diabetes mellitus [DS:H00409]
  ",Antidiabetic,,,,,,,
"D10267
","Methyldopa and hydrochlorothiazide
  ","Methyldopa and hydrochlorothiazide (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10268
","Hydrochlorothiazide and lisinopril
  ","Prinzide (TN)
Zestoretic (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10269
","Hydrochlorothiazide and triamterene
  ","Dyazide (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10270
","Spironolactone and hydrochlorothiazide
  ","Aldactazide (TN)
  ","Nephrotic syndrome [DS:H01657]
Essential hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10271
","Amiloride hydrochloride and hydrochlorothiazide
  ","Amiloride hydrochloride and hydrochlorothiazide (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10272
","Nadolol and bendroflumethiazide
  ","Corzide (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10273
","Metoprolol and hydrochlorothiazide
  ","Dutoprol (TN)
Lopressor hct (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10274
","Propranolol hydrochloride and hydrochlorothiazide
  ","Inderide (TN)
Propranolol hydrochloride and hydrochlorothiazide (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10275
","Bisoprolol fumarate and hydrochlorothiazide
  ","Ziac (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10276
","Captopril and hydrochlorothiazide
  ","Capozide (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10277
","Enalapril maleate and hydrochlorothiazide
  ","Vaseretic (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10278
","Quinapril hydrochloride and hydrochlorothiazide
  ","Accuretic (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10279
","Benazepril hydrochloride and hydrochlorothiazide
  ","Lotensin hct (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10280
","Fosinopril and hydrochlorothiazide
  ","Fosinopril sodium and hydrochlorothiazide (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10281
","Moexipril hydrochloride and hydrochlorothiazide
  ","Uniretic (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10282
","Trandolapril and verapamil hydrochloride
  ","Tarka (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10283
","Eprosartan mesylate and hydrochlorothiazide
  ","Teveten htc (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10284
","Olmesartan medoxomil and hydrochlorothiazide
  ","Benicar hct (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10285
","Amlodipine besylate and olmesartan medoxomil
  ","Azor (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10286
","Amlodipine, valsartan and hydrochlorothiazide
  ","Exforge hct (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10287
","Aliskiren hemifumarate and valsartan
  ","Valturna (TN)
  ","
",Antihypertensive,,,,,,,
"D10288
","Olmesartan medoxomil, amlodipine besylate and hydrochlorothiazide
  ","Tribenzor (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10289
","Aliskiren hemifumarate and hydrochlorothiazide
  ","Tekturna hct (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D10290
","Aliskiren and amlodipine
Aliskiren and amlodipine
  ","Tekamulo (TN)
Rasilamlo (TN)
  ","
",Antihypertensive,,,,,,,
"D10291
","Aliskiren hemifumarate, amlodipine besylate and hydrochlorothiazide
  ","Amturnide (TN)
  ","
",Antihypertensive,,,,,,,
"D10292
","Niacin and lovastatin
  ","Advicor (TN)
  ","Hypercholesterolemia [DS:H00155 H01635]
  ",Antihyperlipidemic,,,,,,,
"D10293
","Carbidopa, levodopa and entacapone
  ","Stalevo (TN)
  ","Parkinson disease [DS:H00057]
  ",Antiparkinsonian,,,,,,,
"D10294
","Perphenazine and amitriptyline hydrochloride
  ","Perphenazine and amitriptyline hydrochloride (TN)
  ","Anxiety [DS:H01662]
Depressive [DS:H01646]
  ",Antidepressant,,,,,,,
"D10295
","Mometasone furoate and formoterol fumarate
  ","Dulera (TN)
  ","Asthma [DS:H00079]
  ",Antiasthmatic,,,,,,,
"D10296
","Ciprofloxacin hydrochloride and dexamethasone
  ","Ciprodex (TN)
  ","
",Anti-infective,,,,,,,
"D10297
","Theophylline and dextrose
  ","Theophylline in dextrose (TN)
  ","Asthma [DS:H00079]
Emphysema [DS:H01714]
  ",Antiasthmatic,,,,,,,
"D10298
","Brimonidine tartrate and timolol maleate
  ","Combigan (TN)
Aibeta (TN)
  ","Glaucoma [DS:H00612]
  ",Antiglaucoma,,,,,,,
"D10299
","Nystatin and triamcinolone acetonide
  ","Nystatin and triamcinolone acetonide (TN)
  ","Cutaneous candidiasis [DS:H01109]
  ",Antifungal,Anti-inflammatory,,,,,,
"D10300
","Clotrimazole and betamethasone
  ","Lotrisone (TN)
  ","Tinea pedis; Tinea cruris; Tinea corporis [DS:H01316]
  ",Antifungal,,,,,,,
"D10301
","Chlorhexidine gluconate and alcohol
  ","Prevantics (TN)
  ","
",Antiseptic,Disinfectant (topical),,,,,,
"D10302
","Prednisolone acetate and gentamicin
  ","Pred-g (TN)
  ","
",Anti-inflammatory,,,,,,,
"D10303
","Kanroin
  ","
","
",Analgesic,Anti-inflammatory,,,,,,
"D10304
","Aladorian (USAN/INN)
  ","
","
",Antiarrhythmic,Ryanodine receptor modulator,,,,,,
"D10305
","Aladorian sodium (USAN)
  ","
","
",Antiarrhythmic,Ryanodine receptor modulator,,,,,,
"D10306
","Avatrombopag (USAN/INN)
  ","
","
",Antithrombocytopenia,Thrombopoietin receptor agonist,,,,,,
"D10307
","Avatrombopag maleate (JAN/USAN)
  ","Doptelet (TN)
  ","Thrombocytopenia [DS:H00978]
  ",Antithrombocytopenia,Thrombopoietin receptor agonist,,,,,,
"D10308
","Baricitinib (JAN/USAN/INN)
  ","Olumiant (TN)
  ","Rheumatoid arthritis [DS:H00630]
Coronavirus disease 2019 [DS:H02398]
Alopecia areata [DS:H01158]
  ",Anti-inflammatory,Antirheumatic,Immunosuppressant,Janus kinase (JAK) inhibitor,,,,
"D10309
","Brexpiprazole (JAN/USAN/INN)
  ","Rexulti (TN)
  ","Major depressive disorder [DS:H01646]
Schizophrenia [DS:H01649]
  ",Antipsychotic,,,,,,,
"D10310
","Balugrastim (USAN/INN)
  ","
","
",Antineutropenic,Granulocyte colony stimulating factor (G-CSF),,,,,,
"D10311
","Blisibimod (USAN/INN)
  ","
","
",Immunosuppressant,,,,,,,
"D10312
","Clazakizumab (USAN/INN)
  ","
","
",Anti-inflammatory,Antirheumatic,,,,,,
"D10313
","Ertugliflozin (USAN/INN)
  ","
","
",Antidiabetic,SGLT-2 inhibitor,,,,,,
"D10314
","Giminabant (USAN/INN)
  ","
","
",Antiobesity,Cannabinoid receptor inverse agonist,,,,,,
"D10315
","Momelotinib (USAN/INN)
  ","
","
",Antineoplastic,Janus kinase (JAK) inhibitor,,,,,,
"D10316
","Nivolumab (USAN/INN)
Nivolumab (genetical recombination) (JAN)
  ","Opdivo (TN)
  ","Melanoma [DS:H00038]
Non-small cell lung cancer [DS:H00014]
Small cell lung cancer [DS:H00013]
Malignant pleural mesothelioma [DS:H00015]
Renal cell carcinoma [DS:H00021]
Hodgkin lymphoma [DS:H00007]
Squamous cell carcinoma of the head and neck [DS:H02420]
Urothelial carcinoma [DS:H00022]
Colorectal cancer (MSI-H or dMMR) [DS:H00020]
Hepatocellular carcinoma [DS:H00048]
Esophageal squamous cell carcinoma [DS:H00017]
Gastric cancer [DS:H00018]
Esophageal adenocarcinoma [DS:H00017]
  ",Antineoplastic,Immune checkpoint inhibitor,Anti-PD-1 antibody,,,,,
"D10317
","Omarigliptin (JAN/USAN/INN)
  ","
","Type 2 diabetes mellitus [DS:H00409]
  ",Antidiabetic,Dipeptidyl peptidase-4 (DPP-4) inhibitor,,,,,,
"D10318
","Oprozomib (USAN/INN)
  ","
","
",Antineoplastic,Proteasome inhibitor,,,,,,
"D10319
","Panobinostat (USAN/INN)
  ","Farydak (TN)
  ","
",Antineoplastic,Histone deacetylase inhibitor,,,,,,
"D10320
","Placulumab (USAN/INN)
  ","
","
",Anti-inflammatory,Anti-TNF-alpha antibody,,,,,,
"D10321
","Quisinostat (USAN/INN)
  ","
","
",Antineoplastic,Histone deacetylase inhibitor,,,,,,
"D10322
","Quisinostat hydrochloride (USAN)
  ","
","
",Antineoplastic,Histone deacetylase inhibitor,,,,,,
"D10323
","Rilimogene glafolivec (USAN/INN)
  ","
","
",Antineoplastic,,,,,,,
"D10324
","Patidegib (USAN)
Saridegib
  ","
","
",Antineoplastic,Smoothened receptor antagonist,,,,,,
"D10325
","Patidegib hydrochloride (USAN)
Saridegib hydrochloride
  ","
","
",Antineoplastic,Smoothened receptor antagonist,,,,,,
"D10326
","Setipiprant (USAN/INN)
  ","
","
",Antiasthmatic,Anti-inflammatory,Prostaglandin D2 receptor antagonist,,,,,
"D10327
","Tirasemtiv (USAN/INN)
  ","
","
",Skeletal muscle function improving agent,,,,,,,
"D10328
","Vocimagene amiretrorepvec (USAN/INN)
  ","
","
",Antineoplastic,,,,,,,
"D10329
","Zicronapine (USAN/INN)
  ","
","
",Antipsychotic,,,,,,,
"D10330
","Camicinal (USAN/INN)
  ","
","
",Prokinetic,Motilin receptor agonist,,,,,,
"D10331
","Ozanezumab (USAN)
  ","
","
",Nogo protein inhibitor,,,,,,,
"D10332
","Elubrixin (USAN)
  ","
","
",Anti-inflammatory,Chemokine (C-X-C motif) receptor 2 antagonist,,,,,,
"D10333
","Elosulfase alfa (USAN)
Elosulfase alfa (genetical recombination) (JAN)
  ","Vimizim (TN)
  ","Mucopolysaccharidosis type IVA [DS:H00123]
  ",Lysosomal storage disease treatment,Enzyme replacement (N-acetylgalactosamine-6-sulfatase),,,,,,
"D10334
","Rebastinib (USAN)
  ","
","
",Antineoplastic,Tyrosine kinase inhibitor,,,,,,
"D10335
","Alirocumab (USAN)
  ","Praluent (TN)
  ","Mmyocardial infarction [DS:H01730]
Primary hyperlipidemia [DS:H01635]
Heterozygous familial hypercholesterolemia [DS:H00155]
  ",Antihyperlipidemic,Anti-PCSK9 antibody,,,,,,
"D10336
","Fasiglifam (USAN/INN)
  ","
","
",Antidiabetic,Hypoglycemic,Free fatty acid receptor 1 (GPR40) agonist,,,,,
"D10337
","Fasinumab (USAN/INN)
Fasinumab (genetical recombination) (JAN)
  ","
","
",Pain relief,,,,,,,
"D10338
","Lasmiditan (USAN/INN)
  ","
","
",Antimigraine,Hydroxytryptamine receptor agonist,,,,,,
"D10339
","Mafodotin (USAN)
  ","
","
",Antineoplastic,,,,,,,
"D10340
","Avibactam sodium (JAN)
(abbr) AVI
  ","
","
",Antibacterial,Cell wall biosynthesis inhibitor,beta-Lactamase inhibitor,,,,,
"D10341
","Vorsetuzumab mafodotin (USAN/INN)
  ","
","
",Antineoplastic,Anti-CD70 antibody,,,,,,
"D10342
","Vorsetuzumab (USAN/INN)
  ","
","
",Antineoplastic,Anti-CD70 antibody,,,,,,
"D10343
","Delparantag (USAN)
  ","
","
",Neutralizer (heparin),,,,,,,
"D10344
","Nelipepimut-S (USAN)
Neuvax
  ","
","
",Antineoplastic,Receptor tyrosine kinase inhibitor,,,,,,
"D10345
","Filorexant (USAN)
  ","
","
",Hypnotic,Olexin receptor antagonist,,,,,,
"D10346
","Recilisib (USAN)
  ","
","
",Radioprotector,,,,,,,
"D10347
","Ramatercept (USAN)
Ace-031
  ","
","
",Myostatin inhibitor,,,,,,,
"D10348
","Emixustat (USAN)
  ","
","
",Aging-related macular degeneration therapeutic agent,Visual cycle modulator,,,,,,
"D10349
","Bevenopran (USAN/INN)
  ","
","
",Laxative,Opioid receptor antagonist,,,,,,
"D10351
","Algenpantucel-L (USAN)
  ","
","
",Antineoplastic,,,,,,,
"D10352
","Dusigitumab (USAN)
  ","
","
",Antineoplastic,Anti-insulin-like growth factor 2 antibody,,,,,,
"D10353
","Demcizumab (USAN/INN)
  ","
","
",Antineoplastic,Anti-delta-like 4 (DLL4) antibody,,,,,,
"D10354
","Dupilumab (USAN)
Dupilumab (genetical recombination) (JAN)
  ","Dupixent (TN)
  ","Atopic dermatitis [DS:H01358]
Asthma [DS:H00079]
  ",Anti-inflammatory,Anti-IL-4/IL-13 antibody,,,,,,
"D10355
","Aripiprazole cavoxil (USAN)
  ","
","
",Antipsychotic,Dopamine receptor partial agonist,Serotonin receptor agonist/antagonist,,,,,
"D10356
","Inclacumab (USAN/INN)
  ","
","
",Anti-inflammatory,Anti-ischemic,Anti-P-selectin antibody,,,,,
"D10357
","Doxylamine succinate and pyridoxine hydrochloride
  ","Diclegis (TN)
  ","
",Anti-emetic,,,,,,,
"D10358
","Momelotinib dihydrochloride (USAN)
  ","
","
",Antineoplastic,Janus kinase (JAK) inhibitor,,,,,,
"D10359
","Migalastat (USAN/INN)
  ","
","
",Stabilizer (alpha-galactosidase A),,,,,,,
"D10360
","Actoxumab (USAN/INN)
  ","
","
",Antibacterial,,,,,,,
"D10361
","Afoxolaner (USAN)
  ","
","
",Insecticide (veterinary),,,,,,,
"D10362
","Evodenoson (USAN)
  ","
","
",Antiglaucoma,Adenosine A2a receptor agonist,,,,,,
"D10363
","Emixustat hydrochloride (USAN)
  ","
","
",Aging-related macular degeneration therapeutic agent,Visual cycle modulator,,,,,,
"D10364
","Aripiprazole lauroxil (USAN)
  ","Aristada (TN)
  ","Schizophrenia [DS:H01649]
  ",Antipsychotic,Dopamine receptor partial agonist,Serotonin receptor agonist/antagonist,,,,,
